,0,1
0,"Bonn, Deutschland",2
1,"Fort Worth, TX",1
2,,0
3,"Groningen, Nederland",0
4,London,0
5,Brussels,0
6,"Berlin, Germany",2
7,Berlin,2
8,"London, England",0
9,Atlanta,1
10,Tbilisi,0
11,"Geneva, Switzerland",2
12,Vienna,2
13,"New York, USA",1
14,"Berlin, Deutschland",2
15,"Bonn, Germany",2
16,"Washington, DC",1
17,"Bayern, Deutschland",2
18,Sun warm.Eg,0
19,"Toronto, Ontario",1
20,Israel,0
21,Munich,2
22,Working from home!,0
23,"Kassel, Hessen",2
24,"Washington, DC. From Spain.",1
25,"Khulna, Bangladesh",0
26,Mittelsachsen +Silicon Valley,1
27,"Cambridge, MA",1
28,"London, UK",0
29,"Maseru, Lesotho ",0
30,DC | Berlin | Bogota,1
31,"pago pago, american samoa",0
32,Canada,1
33,\\hello\,0
34,"San Francisco, CA",1
35,"Hannover, Deutschland",2
36,"Pforzheim, Deutschland",2
37,"KÃ¶ln, Nordrhein-Westfalen",2
38,Wiesbaden.Berlin.Roma.Padova.,2
39,"Oxford, England",0
40,the Netherlands,0
41,MÃ¼nchen,2
42,"Ottawa, Ontario",1
43,Berlin,2
44,"Ankara, TÃ¼rkiye",0
45,Australian Capital Territory,0
46,University of British Columbia,1
47,"LÃ¼beck, Deutschland",2
48,berlin,2
49,Canberra,0
50,"Hamburg, Germany",2
51,Heidelberg,2
52,USA,1
53,"SaarbrÃ¼cken, Deutschland",2
54,Belgium,0
55,Istanbul,0
56,in the clouds & on the ground,0
57,Deutschland,2
58,Berlin | Hannover,2
59,"Bern, Schweiz",2
60,"Frankfurt am Main, Germany",2
61,"Train between Amsterdam, Oxford, Bayern and Berlin.",2
62,"Charleston, SC",1
63,Germany,2
64,"The Hague, The Netherlands",0
65,berlin,2
66,"BerlÃ­n, Alemania",2
67,Internet,0
68,"Brussels, Belgium",0
69,"London, United Kingdom",0
70,"Durham, NC",1
71,"FÃ¼r NRW, Hessen, RLP, Saarland",2
72,"Ile-de-France, France",0
73,"Hamburg, Deutschland",2
74,Yerevan,0
75,Dublin/Brussels/Athens,2
76,Bochum,2
77,Geraffel Village,0
78,Berlin und Rheinland,2
79,The Internet,0
80,Ottawa,1
81,United States,1
82,"Modena, Emilia Romagna",0
83,Amsterdam,0
84,a bit all over the place,0
85,"Boppard, Deutschland",2
86,"Ä°stanbul, TÃ¼rkiye",0
87,"North Rhine-Westphalia + Lower Saxony, Germany",2
88,"New York, NY",1
89,Berlin / Madrid,2
90,"Potsdam, Deutschland",2
91,"Warsaw, Poland",0
92,Delhi,0
93,"Amsterdam, The Netherlands",0
94,Oslo,0
95,"åŒ—äº¬, ä¸­åäººæ°‘å…±å’Œå›½",0
96,Paris,0
97,Global,0
98,Cheshire England,0
99,"Cologne, Germany",2
100,"Los Angeles, CA",1
101,Zurich/Paris/London,0
102,"Den Haag, Niederlande",0
103,Bonn/Berlin,2
104,Antarctica,0
105,DÃ¼sseldorf,2
106,stl / nyc,1
107,los angeles california,1
108,Pale Blue Dot ğŸŒ,0
109,Berlin/London,2
110,0x581623a87a07ada8,0
111,"Ramat Gan, Israel",0
112,Europe,0
113,"Paris, France",0
114,United States Minor Outlying Islands,1
115,"Cambridge, MA, USA",1
116,Africa,0
117,Republic of Public Repo Rebase,0
118,North Carolina,1
119,"SaarbrÃ¼cken, Germany",2
120,"Krakow, Poland",0
121,"Islamabad, Pakistan",0
122,"Seoul, Republic of Korea",0
123,"Calgary, Alberta",1
124,Sheffield,0
125,Born @ 333.13ppm ğŸŒ,0
126,Washington DC,1
127,Berlin / Leipzig,2
128,Berlin through Beijing,2
129,"New Delhi, India",0
130,Nordrhein-Westfalen,2
131,"RhÃ´ne-Alpes, France",0
132,"Tuscaloosa, AL",1
133,"Norderney, Germany",2
134,"Bordeaux, France",0
135,San Francisco,1
136,"TÃ¼bingen, Germany",2
137,"Seattle, WA",1
138,ğŸ‡®ğŸ‡ª,0
139,Cambridge & SF,1
140,Budapest/Vienna,0
141,india,0
142,"UK, Europe & USA",0
143,Rome,0
144,Northern Virginia,1
145,"Berlin / Bielefeld, Germany",2
146,United Kingdom,0
147,"Waterloo, Ontario",1
148,India,0
149,ğŸ‡®ğŸ‡ª in Brussels,0
150,"California, USA",1
151,"Bengaluru, India",0
152,Transdanubia,0
153,NYC + Berlin + Atlanta,1
154,"Kiel, Germany",2
155,He/him,0
156,"Gurugram, Haryana",0
157,"Tunis, Tunisia",0
158,Worldwide,0
159,"Frankfurt on the Main, Germany",2
160,"Zurich, Switzerland",2
161,Gallifrey,0
162,"Frankfurt am Main, Deutschland",2
163,Vernich,0
164,Northeast,0
165,CBR OXF DIJ ADL,0
166,Estonia,0
167,"#YCWBeijing, #YCWShanghai, #YCWHongKong, #YCWLondon, #YCWNewYork, #YCWSanFrancisco, #YCWWashingtonDC, #YCWBerlin, #YCWBrussels, #YCWSingapore",0
168,"MÃ¼nchen, Bayern",2
169,"Brussel, BelgiÃ«",0
170,Gambia,0
171,Los Angeles | CA Lic. #0F22799,1
172,SaarbrÃ¼cken,2
173,Berlin / Germany / EU,2
174,"Europe, smw btw London&Marburg",2
175,Worldwide Omnichannel,0
176,"Monterey, CA",1
177,ğŸ‡ºğŸ‡³ Planet Earth,0
178,MÃ¼nchen & Berlin,2
179,"Washington, D.C.",1
180,Berlin & Brussels,2
181,world wide free open web,0
182,"Wien, Ã–sterreich",2
183,"DÃ¼sseldorf, Deutschland",2
184,Hong Kong,0
185,Planet Earth,0
186,"Friedrichshafen, Bodensee",2
187,Berlin/Dresden,2
188,"Spreekariat, Deutschland",2
189,Taunus/ AllgÃ¤u/ MÃ¼nchen,0
190,Toronto,1
191,"London, Hong Kong, Shanghai",0
192,South Africa,0
193,At the crib dog,0
194,"NeukÃ¶lln, Berlin",2
195,"Winnipeg, Manitoba",1
196,"Sydney (Oxford, London)",0
197,Berlin Wedding,2
198,"Gatineau, QuÃ©bec",0
199,somewhere - usually Berlin,2
200,"Munich, Germany",2
201,"cyberspace, home of the mind",0
202,Bonn,2
203,"washington, d.c.",1
204,Inside your device ğŸ•µï¸,0
205,Image Credits: digital kompakt,0
206,"Ann Arbor, MI",1