,0,
0,All Ovah the World,0
1,Berlin,2
2,"Bonn, Deutschland",2
3,"Los Angeles, CA",1
4,"Fort Worth, TX",1
5,,0
6,London,0
7,Transdanubia,0
8,"London, UK",0
9,D.C.,1
10,mostly at home ðŸ˜·,0
11,"Berlin, Germany",2
12,@billyeichner on instagram,1
13,"Berlin, Deutschland",2
14,"New York, USA",1
15,"Montreal, QC",1
16,New York,1
17,kcmo // los angeles,1
18,"Hannover, Deutschland",2
19,"Durham, NC",1
20,Heidelberg,2
21,Working from home!,0
22,"Phoenix, Arizona",1
23,"Cambridge, MA",1
24,"London, England",0
25,Namibia,0
26,"Maseru, Lesotho ",0
27,"Hamburg, Germany",2
28,South Africa,0
29,DC | Berlin | Bogota,1
30,"Oxford, England",0
31,"San Francisco, CA",1
32,Lexington/Phoenix,1
33,"Johannesburg, South Africa",0
34,international waters,0
35,UK,0
36,Wiesbaden.Berlin.Roma.Padova.,2
37,Metro Detroit,1
38,"P.O.Box 457 Berkeley, CA 94701",1
39,"Seattle, WA",1
40,Schitt's Creek,1
41,San Francisco lifer,1
42,"Texas, USA",1
43,DC / The Berkshires,1
44,"California, London, & Kent ",1
45,"Austin, TX",1
46,"Chicago, IL",1
47,Berlin,2
48,Berlin | Hannover,2
49,"Minneapolis, MN and Washington, DC",1
50,"Boston, MA",1
51,Chicago,1
52,"Bonn, Germany",2
53,Australian Capital Territory,0
54,"Brussels, Belgium",0
55,The United States of America,1
56,Canberra,0
57,"Washington, DC",1
58,"London, England, Europe",0
59,Europe,0
60,Brussels,0
61,"Harrisonburg, VA",1
62,"Bruxelles, Belgique",0
63,"Sheffield, England",0
64,in the clouds & on the ground,0
65,"New York City, NY",1
66,"New York, NY",1
67,"Bern, Schweiz",0
68,"Frankfurt am Main, Deutschland",2
69,"Oakland, CA",1
70,"Detroit, MI",1
71,"Philadelphia, PA",1
72,Beijing,0
73,"Potsdam, Deutschland",2
74,berlin,2
75,"Geneva, Switzerland",2
76,San Francisco,1
77,"Dublin, Ireland - See blog at",0
78,Taunus/ AllgÃ¤u/ MÃ¼nchen,2
79,Berlin ðŸ‡©ðŸ‡ª,2
80,"Somerville, MA",1
81,"Dublin City, Ireland",0
82,Miami,1
83,"Brooklyn, NY",1
84,"Den Haag, Nederland",0
85,Toronto/Nairobi/Windhoek,0
86,"East Lansing, MI",1
87,London(ish),0
88,"Berkeley, CA",1
89,Dublin/Brussels/Athens,0
90,Germany,2